start	end	text
0	2960	Si simplemente vienes a Cloud y conectas esta herramienta y escribes,
2960	6720	dame 50 empresas de alto crecimiento en España con menos de 100 empleados.
6720	10080	Este MCP de Cloud va a buscar tuvada a la base de datos de Elite
10080	14440	y va a encontrar los desliz altamente cualificados con nombres y mails verificados,
14440	17560	sobre el delinqued y un poco de información sobre su negocio también.
17560	20520	Es de lejos, hay métodos más potendimas fácil de generación de Elite.
20520	25520	Esta herramienta se llama Explorium y puedes conectarla fácilmente con Cloud y usar PRONS para generar Elite.
25520	29840	Ets una guía paso a paso a nuestra biblioteca para montar sistemas para tu propio negocio.
29840	34680	Simplemente ve al link de perfil y acceden a esta biblioteca de recursos donde podrás encontrar la guía.
34680	38400	Y además tendrás acceso a nuestra clase de ratujitas de 2 días en directo.
